Topic 00		764627.8780400838
	free	37818.7151149861
	money	37343.544089499715
	buy	23923.129896770177
	pay	22179.546245323232
	paid	17988.409095878542
	refund	14981.899439196915
	want	11573.843151597213
	back	9665.503807442934
	bought	9539.585411614273
	waste	7666.9232307903285
	purchase	7118.526769682819
	card	6808.385249998954
	over	6321.304204109874
	give	6313.3173463230705
	off	6155.380312899717
	trial	5919.674474000703
	need	5764.419633168765
	until	5567.883874741718
	make	5518.064587929874
	won	5411.612881292712


Topic 01		336347.68873566436
	pictures	10843.094425758456
	picture	8990.358197159128
	pics	8553.491201311013
	camera	8085.0535772264975
	save	6932.037669085701
	wallpaper	6416.248286784881
	see	5907.1111958707315
	photos	5647.366083679176
	upload	4929.546217865076
	pic	4708.61597346109
	let	4613.427136825037
	photo	4466.911499031658
	image	3668.106560298421
	show	3665.060495559942
	images	3608.3416998217785
	look	3586.0028080461097
	anything	3366.1885055681305
	waste	3365.2764253799055
	bad	3116.6154941699288
	cant	2882.009812239752


Topic 02		551603.2863189443
	uninstall	22451.694410116375
	want	13052.925955198974
	need	8386.396945711691
	send	7942.1605093418
	messages	7906.575209121971
	delete	7696.434253236865
	let	7179.7630957057445
	contacts	7172.396100281143
	calls	6378.676871856508
	off	6106.951216086529
	words	6084.924530400574
	space	5825.7463776735785
	crap	5764.8914732045405
	number	5561.383194294954
	remove	5475.920578343389
	cant	5144.707893185948
	message	5116.985034112535
	could	5020.319859996433
	dont	4841.14188999902
	please	4735.782368059351


Topic 03		841037.0713400877
	log	18059.891887017082
	error	14282.798216682299
	account	14245.585357444445
	connect	12789.353234421082
	login	12279.926691834384
	connection	11942.923954712303
	sign	9361.645070363253
	let	8719.291916391001
	slow	8676.24450958
	website	8092.708031041905
	page	8069.724377812499
	see	7636.272756559975
	password	7558.9252425769555
	access	7483.5763834404115
	try	7342.433150644027
	site	7166.4884574243515
	load	7148.527114189299
	won	7076.976240707039
	need	7045.705885561112
	back	6997.752235528475


Topic 04		620207.3959666953
	galaxy	20558.98710867762
	battery	18392.73542391036
	support	11737.611542474991
	off	11346.510599000972
	droid	9336.519000247523
	nexus	9066.614270104494
	compatible	8429.131992330587
	install	7808.037202802778
	samsung	7062.593071517769
	worked	7057.360710092554
	installed	6333.179606504522
	please	5909.037522621682
	back	5493.701734519024
	run	5217.754056655546
	doesnt	5111.4165092709345
	nothing	5058.383027805405
	tablet	4977.659433619732
	idea	4576.730903725914
	change	4388.291473895029
	won	4347.71253371669


Topic 05		842505.0464895832
	boring	18642.1613778935
	bad	17787.23851574148
	stupid	15341.769635687693
	waste	14223.09501216051
	dont	12457.89276187953
	hard	10544.779624986606
	make	10420.887669039625
	way	10051.32027928983
	graphics	9294.015412215893
	controls	9278.100023248931
	crap	8544.396830268735
	how	8491.95873207359
	could	8377.307267563929
	slow	7965.336829527792
	let	7333.414197026351
	cant	7263.582661712153
	give	6928.717406269609
	played	6823.547914959987
	move	6624.158941685599
	poor	6163.557376352996


Topic 06		346025.71141536796
	video	15192.51084981003
	sound	10833.939108032244
	watch	9540.690149015112
	videos	7773.953965563075
	songs	6736.950472891871
	audio	5260.148530791306
	sounds	4607.747068129397
	hear	4148.866239058086
	record	3803.2052397203297
	anything	3713.484383929579
	shows	3437.0370197505063
	movies	3433.77182797707
	bad	3156.661826204221
	waste	3113.724469360309
	stream	3013.8731261976195
	plays	2804.7935858170395
	show	2708.374110542369
	nothing	2695.079612747806
	seconds	2649.9370930490654
	recording	2626.875141428606


Topic 07		1060904.3597893026
	closes	42263.08024652283
	close	40117.52152481163
	load	31335.325766241636
	every	25513.84592644951
	crashes	24094.957970355135
	keeps	19821.40233371884
	won	19024.44944906864
	start	16631.990365236503
	please	16202.65441678759
	closing	15793.002976735537
	freezes	15631.723855589418
	try	14879.439355088594
	slow	13510.402635322713
	back	13451.721046233037
	crashing	12138.005956141855
	times	11622.607301512804
	loading	11084.01067161894
	before	10778.18894118778
	let	10449.758010206644
	until	10394.19050359441


Topic 08		633615.8014288491
	find	11982.145220003866
	location	10712.069865823865
	search	10286.697218232843
	info	7193.218945289738
	useless	6675.503926061963
	data	6446.862741043148
	way	6321.237838711504
	list	6301.470049608827
	sync	6163.6056567381875
	wrong	6094.184483100524
	weather	6086.900370640444
	show	5868.842059365736
	map	5464.307247884933
	add	5269.797007076833
	need	5100.312158520367
	used	4871.783844403832
	see	4386.793838239826
	books	4132.635412282752
	needs	4070.69777416697
	scan	4052.7028435311295


Topic 09		323936.76047541917
	ads	44773.7513142702
	notification	11332.744127063741
	spam	10144.42094437602
	bar	9266.506023760345
	notifications	9001.046673284043
	adds	6785.74608356444
	annoying	6517.702008017628
	many	5897.843055530983
	pop	4943.649009420915
	push	4839.333355445669
	install	3446.347271033087
	uninstalled	3008.4539476001883
	until	2885.2789533744935
	uninstall	2731.972026664331
	bad	2516.828275849515
	started	2399.1932223250496
	permissions	2364.186404918568
	free	2289.599781582931
	way	2258.8832209013754
	crap	2258.492502388842


